 INFO  Accepting connections at http://localhost:3000
 HTTP  27/5/2026 22:38:22 ::1 GET /
 HTTP  27/5/2026 22:38:22 ::1 Returned 200 in 15 ms
 HTTP  27/5/2026 22:38:23 ::1 GET /directorio
 HTTP  27/5/2026 22:38:23 ::1 Returned 200 in 4 ms
 HTTP  27/5/2026 22:38:23 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe
 HTTP  27/5/2026 22:38:23 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:23 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7
 HTTP  27/5/2026 22:38:23 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:23 ::1 GET /marca/no-existe
 HTTP  27/5/2026 22:38:23 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:38:31 ::1 GET /
 HTTP  27/5/2026 22:38:31 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:31 ::1 GET /directorio
 HTTP  27/5/2026 22:38:31 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:38:31 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe
 HTTP  27/5/2026 22:38:31 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:38:31 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7
 HTTP  27/5/2026 22:38:31 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:38:31 ::1 GET /marca/no-existe
 HTTP  27/5/2026 22:38:31 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 5 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /_next/static/media/01e4147cff8141ee-s.p.7787e134.woff2
 HTTP  27/5/2026 22:38:35 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:35 ::1 GET /_next/static/media/8bd76523131fa0fc-s.p.eb17b6b9.woff2
